shareCode,value(100 million)
002668,65.16
002669,37.2
002670,156.94
002671,25.29
002672,51.53
002673,283.37
002674,35.29
002675,146.12
002676,28.37
002677,72.87
002678,77.85
002679,25.91
002681,70.25
002682,24.8
002683,206.96
002685,47.26
002686,35.05
002687,22.28
002688,42.92
002689,46.64
002690,214.53
002691,19.18
002692,30.16
002693,39.81
002694,34.52
002695,55.64
002696,23.06
002697,69.36
002698,150.62
002699,32.65
002700,20.74
002701,130.98
002702,28.7
002703,74.7
002705,144.93
002706,166.22
002707,76.14
002708,32.13
002709,917.28
002712,25.98
002713,25
002714,2591.36
002715,30.59
002716,75.6
002717,50.88
002718,19.66
002719,13.58
002721,30.62
002722,22.94
002723,39.31
002724,72.68
002725,23.91
002726,109.69
002727,189.91
002728,45.13
002729,64.7
002730,29.33
002731,51.64
002732,27.28
002733,71.58
002734,37.18
002735,50.57
002736,870.89
002737,154.12
002738,403.17
002739,254.11
002740,14.67
002741,78.35
002742,20.09
002743,25.33
002745,130.9
002746,88.21
002747,179.65
002748,27.29
002749,41.59
002750,68.85
002751,11.27
002752,53.54
002753,33
002755,86.78
002756,588.33
002757,36.46
002758,83.7
002759,76.97
002760,22.72
002761,249.25
002762,25.28
002763,31.69
002765,67.63
002766,48.04
002767,17.51
002768,78.53
002769,32.93
002771,23.51
002772,34.31
002773,157.96
002774,22.83
002775,20.51
002776,12.27
002777,68.95
002778,19.4
002779,30.76
002780,18.31
002781,16.2
002782,91.29
002783,35.92
002785,63.95
002786,32.17
002787,20.54
002788,35.98
002789,23.4
002790,37.75
002791,324.02
002792,46.68
002793,97.77
002795,25.26
002796,22.42
002797,245.84
002798,30.18
002799,35.13
002800,21.88
002801,67.26
002802,20.98
002803,52.98
002805,97
002806,22.45
002807,85.8
002808,21.34
002809,21.71
002810,89.79
002811,22.14
002812,1486.04
002813,35.27
002815,96.72
002816,16.27
002817,27.28
002818,92.06
002819,81.25
002820,16.57
002821,573.48
002822,33.04
002823,29.8
002824,66.05
002825,29.95
002826,23.17
002827,27.52
002828,17.85
002829,62.54
002830,16.13
002831,310.61
002832,133.72
002833,69.83
002835,26.49
002836,22.04
002837,139.33
002838,81.93
002839,100.45
002840,96.55
002841,444.27
002842,23.71
002843,45.41
002845,49.07
002846,26.9
002847,123.39
002848,17.83
002849,24.53
002850,245.4
002851,141.86
002852,44.23
002853,38.65
002855,22.78
002856,14.51
002857,17.57
002858,24.76
002859,111.57
002860,49.84
002861,17.39
002862,17.28
002863,28.08
002864,38.23
002865,323.78
002866,115.37
002867,142.47
002868,56.24
002869,41.24
002870,38.57
002871,24.66
002872,16.09
002873,36.03
002875,17.65
002876,74.42
002877,24.24
002878,39.55
002879,28.79
002880,62.48
002881,70.79
002882,56.97
002883,17.08
002884,55.69
002885,57.83
002886,41.42
002887,28.86
002888,18.1
002889,30.99
002890,18.22
002891,64.88
002892,37.68
002893,18.03
002895,121.55
002896,37.49
002897,105.3
002898,21.49
002899,16.04
002900,46.26
002901,161.52
002902,30.51
002903,35.32
002905,30.07
002906,186.98
002907,106.05
002908,49.99
002909,34.63
002910,20.87
002911,113.42
002912,52.15
002913,84.79
002915,64.48
002916,392.71
002917,40.57
002918,70.06
002919,61.03
002920,651.95
002921,20.2
002922,53.76
002923,43.2
002925,142.86
002926,212.36
002927,24.64
002928,119.09
002929,86.66
002930,89.21
002931,20.81
002932,100.64
002933,28.57
002935,70.88
002936,199.2
002937,71.84
002938,700.76
002939,348.98
002940,43.93
002941,84.82
002942,27.28
002943,62.55
002945,386.1
002946,99.25
002947,46.37
002948,187.42
002949,28.33
002950,77.13
002951,39.37
002952,29.15
002953,35.97
002955,65.12
002956,30.41
002957,67.86
002958,162.78
002959,97.2
002960,139.76
002961,65.64
002962,34.13
002963,20.54
002965,95.26
002966,266.2
002967,108.32
002968,49.85
002969,38.68
002970,39.75
002971,31.92
002972,37.12
002973,51.08
002975,51.26
002976,30.18
002977,39.06
002978,145.44
002979,61.39
002980,49.52
002981,22.85
002982,45.85
002983,34.41
002984,186.46
002985,165.63
002986,50.01
002987,95.86
002988,34.61
002989,29.23
002990,73.8
002991,64.97
002992,90.34
002993,105.06
002995,45.58
002996,63.22
002997,49.28
002998,22.78
002999,44.74
003000,44.63
003001,21.72
003002,46.2
003003,18.37
003004,20.48
003005,92.85
003006,58.96
003007,27.72
003008,21.79
003009,66.01
003010,21.13
003011,23.22
003012,97.36
003013,63.16
003015,25.8
003016,36.27
003017,18.86
003018,27.9
003019,35.19
003020,47.21
003021,102.2
003022,435.53
003023,27.62
003025,32.72
003026,42.2
003027,28.51
003028,41.28
003029,62.39
003030,32.11
003031,204.63
003032,63.79
